name,time,value
temp,1704811112967200314,18.0
temp,1704811173378513719,18.0
temp,1704811233621200098,18.0
temp,1704811294050221809,18.0
temp,1704811354202699630,18.0
temp,1704811414380980926,18.0
temp,1704811474915844838,18.0
temp,1704811535076986833,18.0
temp,1704811595304370644,18.0
temp,1704811655558476382,18.0
temp,1704811715834318390,18.0
temp,1704811776315022235,18.0
temp,1704811836436760414,18.0
temp,1704811896715419790,18.0
temp,1704811956867028148,18.0
temp,1704812017432302080,18.0
temp,1704812077598973315,18.0
temp,1704812137873190921,18.0
temp,1704812198099790702,18.0
temp,1704812258455818254,18.0
temp,1704812318664374862,18.0
temp,1704812378942643752,18.0
temp,1704812439383873457,18.0
temp,1704812499580222565,18.0
temp,1704812560031350222,18.1
temp,1704812620211247876,18.0
temp,1704812680244846609,18.1
temp,1704812740747007174,18.0
temp,1704812800832837467,18.1
temp,1704812861231351488,18.1
temp,1704812921529805502,18.1
temp,1704812981676180233,18.1
temp,1704813042024556259,18.1
temp,1704813102385619467,18.1
temp,1704813162727372281,18.1
temp,1704813223052510526,18.1
temp,1704813283208385715,18.0
temp,1704813343419650545,18.1
temp,1704813403887915773,18.1
temp,1704813464092568723,18.1
temp,1704813524444193643,18.1
temp,1704813584643682131,18.1
temp,1704813644941013955,18.1
temp,1704813705304795638,18.1
temp,1704813765543311461,18.1
temp,1704813825923513497,18.1
temp,1704813886105202071,18.1
temp,1704813946251999297,18.1
temp,1704814006729778591,18.1
temp,1704814066729480083,18.1
temp,1704814127154515404,18.1
temp,1704814187362345772,18.1
temp,1704814247725801057,18.2
temp,1704814308166457861,18.2
temp,1704814368341937439,18.2
temp,1704814428417475921,18.2
temp,1704814488777103942,18.2
temp,1704814549169298187,18.2
temp,1704814609370903768,18.2
temp,1704814669694900687,18.2
temp,1704814730074202933,18.2
temp,1704814790430418469,18.2
temp,1704814850600781247,18.2
temp,1704814910832992053,18.2
temp,1704814971128918542,18.2
temp,1704815031332029236,18.2
temp,1704815091681917461,18.2
temp,1704815151835146534,18.2
temp,1704815212187397568,18.2
temp,1704815272379423057,18.2
temp,1704815332848376967,18.2
temp,1704815392998691812,18.2
temp,1704815453453400197,18.1
temp,1704815513702617721,18.1
temp,1704815573810188808,18.1
temp,1704815634272573118,18.0
temp,1704815694336989104,18.0
temp,1704815754651045466,18.0
temp,1704815815004328002,18.0
temp,1704815875213231608,18.0
temp,1704815935455297121,18.0
temp,1704815996013480012,18.0
temp,1704816056234067587,17.9
temp,1704816116476390561,18.0
temp,1704816176766551127,17.9
temp,1704816236899869345,17.9
temp,1704816297474544235,17.8
temp,1704816357569312579,17.8
temp,1704816417864664186,17.8
temp,1704816478116720179,17.8
temp,1704816538351569617,17.8
temp,1704816598856356304,17.8
temp,1704816658859187388,17.8
temp,1704816719240206516,17.8
temp,1704816779615721923,17.7
temp,1704816839819315649,17.7
temp,1704816900312827014,17.6
temp,1704816960267535792,17.6
temp,1704817020777809241,17.6
temp,1704817081019929263,17.6
temp,1704817141100702092,17.6
temp,1704817201425223724,17.6
temp,1704817261839319365,17.5
temp,1704817321952483899,17.5
temp,1704817382426993798,17.5
temp,1704817442577899189,17.5
temp,1704817503009319798,17.5
temp,1704817563089725536,17.5
temp,1704817623537915391,17.5
temp,1704817683935594287,17.4
temp,1704817744035328884,17.4
temp,1704817804557040390,17.4
temp,1704817864833078240,17.4
temp,1704817924852044214,17.4
temp,1704817985165840468,17.4
temp,1704818045371030051,17.4
temp,1704818105678073025,17.3
temp,1704818166050193399,17.3
temp,1704818226428943787,17.2
temp,1704818286727415778,17.3
temp,1704818346935592837,17.2
temp,1704818407050267431,17.2
temp,1704818467434160221,17.2
temp,1704818527831872567,17.2
temp,1704818588088319761,17.2
temp,1704818648291539456,17.2
temp,1704818708614603144,17.2
temp,1704818769022176079,17.2
temp,1704818829034216532,17.1
temp,1704818889477548417,17.1
temp,1704818949872334373,17.0
temp,1704819010079167832,17.0
temp,1704819070288735861,17.0
temp,1704819130658986306,17.0
temp,1704819190956661897,17.0
temp,1704819250982447067,17.0
temp,1704819311309646614,17.0
temp,1704819371734982241,17.0
temp,1704819432051854322,16.9
temp,1704819492288748362,16.9
temp,1704819552443643652,16.9
temp,1704819612873644340,16.9
temp,1704819673101677882,16.9
temp,1704819733497682591,16.8
temp,1704819793705249946,16.8
temp,1704819853976166821,16.8
temp,1704819914132680384,16.8
temp,1704819974427091668,16.8
temp,1704820034907071436,16.8
temp,1704820095183627107,16.8
temp,1704820155407257154,16.7
temp,1704820215541001721,16.7
temp,1704820275960862505,16.7
temp,1704820336094746063,16.7
temp,1704820396315467974,16.7
temp,1704820456643567551,16.7
temp,1704820516867983003,16.7
temp,1704820577370817278,16.6
temp,1704820637597691026,16.6
temp,1704820697997966887,16.6
temp,1704820758232669652,16.6
temp,1704820818505608430,16.6
temp,1704820878657088200,16.6
temp,1704820939062993498,16.6
temp,1704820999211968023,16.6
temp,1704821059469613483,16.6
temp,1704821119785335897,16.6
temp,1704821179977365643,16.6
temp,1704821240583173198,16.6
temp,1704821300788897855,16.5
temp,1704821360909420504,16.5
temp,1704821421220522751,16.5
temp,1704821481381966848,16.5
temp,1704821541699564301,16.5
temp,1704821602125375018,16.5
temp,1704821662278872396,16.4
temp,1704821722503846548,16.4
temp,1704821782796405981,16.4
temp,1704821843163607409,16.4
temp,1704821903511642828,16.4
temp,1704821963716476853,16.4
temp,1704822024187101965,16.4
temp,1704822084320142147,16.4
temp,1704822144674987571,16.4
temp,1704822204819410169,16.4
temp,1704822265084347188,16.4
temp,1704822325520616238,16.4
temp,1704822385799082071,16.4
temp,1704822446204411905,16.4
temp,1704822506350805102,16.3
temp,1704822566527945044,16.3
temp,1704822626767666514,16.3
temp,1704822687034526097,16.2
temp,1704822747610207856,16.2
temp,1704822807585672685,16.3
temp,1704822867888396259,16.3
temp,1704822928390832796,16.3
temp,1704822988693387200,16.2
temp,1704823048766174091,16.2
temp,1704823109042433108,16.2
temp,1704823169423314588,16.2
temp,1704823229676839143,16.2
temp,1704823289908167022,16.2
temp,1704823350276376213,16.2
temp,1704823410401103974,16.2
